BEER,Brewery,Calories,Carbohydrates,Alcohol,Type
Miller High Life,MillerCoors,143,13.1,4.70,Domestic
Miller High Life Light,MillerCoors,110,7.0,4.20,Domestic
Miller Lite,MillerCoors,96,3.2,4.20,Domestic
Milwaukee's Best,MillerCoors,128,11.4,4.30,Domestic
Miller Lite Brewers Collection Amber,MillerCoors,110,6.2,4.20,Domestic
Miller Lite Brewers Collection Blonde,MillerCoors,110,6.2,4.20,Domestic
Miller Lite Brewers Collection Wheat,MillerCoors,110,6.2,4.20,Domestic
Milwaukee's Best Premium,MillerCoors,128,11.4,4.30,Domestic
Milwaukee's Best Light,MillerCoors,98,3.5,4.20,Domestic
Milwaukee's Best Ice,MillerCoors,144,7.3,5.90,Domestic
New Belgium 1554,New Belgium,205,25.0,5.60,Domestic
New Belgium 2 Below,New Belgium,200,17.0,6.60,Domestic
New Belgium Abbey,New Belgium,200,18.0,7.00,Domestic
New Belgium Blue Paddle,New Belgium,140,14.0,4.80,Domestic
New Belgium Fat Tire,New Belgium,160,15.0,5.20,Domestic
New Belgium Mothership Wit,New Belgium,155,15.0,4.80,Domestic
New Belgium Trippel,New Belgium,215,20.0,7.80,Domestic
New Belgium Sunshine Wheat,New Belgium,145,13.0,4.80,Domestic
O'Doul's,Anheuser Busch,70,13.3,0.40,Domestic
Old Milwaukee Light,Old Milwaukee,114,8.3,3.80,Domestic
Old Milwaukee Beer,Old Milwaukee,146,12.9,4.50,Domestic
Olde English 800,MillerCoors,160,10.5,5.90,Domestic
Olde English 800 7.5,MillerCoors,202,13.4,7.50,Domestic
Olde English High Gravity 800,MillerCoors,220,14.6,8.00,Domestic
Olympia Premium Lager,Pabst,146,11.9,4.70,Domestic
Pabst Blue Ribbon,Pabst,144,12.0,4.65,Domestic
Red Dog,MillerCoors,147,14.1,5.00,Domestic
Red Hook ESB,Red Hook,179,14.2,5.77,Domestic
Red Hook IPA,Red Hook,188,12.7,6.50,Domestic
Rolling Rock Extra Pale,Latrobe,142,,4.60,Domestic
Rolling Rock Premium Beer,Latrobe,120,10.0,4.50,Domestic
Sam Adams Boston Lager,Boston Beer,160,18.0,4.75,Domestic
Sam Adams Boston Ale,Boston Beer,160,19.9,4.94,Domestic
Sam Adams Cherry Wheat,Boston Beer,166,16.9,5.20,Domestic
Sam Adams Cream Stout,Boston Beer,195,23.9,4.69,Domestic
Sam Adams Light,Boston Beer,119,9.6,4.05,Domestic
Schaefer Beer,Pabst,142,12.0,4.60,Domestic
Schlitz Beer,Pabst,146,12.1,4.70,Domestic
Sierra Nevada Anniversary Ale,Sierra Nevada,190,17.3,5.90,Domestic
Sierra Nevada Bigfoot,Sierra Nevada,330,32.1,9.60,Domestic
Sierra Nevada Celebration Ale,Sierra Nevada,214,19.4,6.80,Domestic
Sierra Nevada Draft Ale,Sierra Nevada,157,13.4,5.00,Domestic
Sierra Nevada Early Spring Beer,Sierra Nevada,190,16.7,5.90,Domestic
Sierra Nevada Harvest Ale,Sierra Nevada,215,19.3,6.70,Domestic
Sierra Nevada India Pale Ale,Sierra Nevada,231,20.0,6.90,Domestic
Sierra Nevada Pale Ale,Sierra Nevada,175,14.1,5.60,Domestic
Sierra Nevada Pale Bock,Sierra Nevada,218,19.7,7.00,Domestic
Sierra Nevada Porter,Sierra Nevada,194,18.4,5.60,Domestic
Sierra Nevada Stout,Sierra Nevada,225,22.3,5.80,Domestic
Sierra Nevada Summerfest Beer,Sierra Nevada,158,13.7,5.00,Domestic
Sierra Nevada Wheat Beer,Sierra Nevada,153,13.1,4.40,Domestic
Southpaw Light,MillerCoors,123,6.6,5.00,Domestic
Steel Reserve,MillerCoors,222,16.0,8.10,Domestic
Steel Reserve Triple Export,MillerCoors,222,16.0,8.10,Domestic
Steel Reserve Six,MillerCoors,160,11.0,6.00,Domestic
Stroh's Beer,Stroh's,149,12.0,4.60,Domestic
Stroh's Light,Stroh's,113,7.0,4.40,Domestic
Summit Horizon Red IPA,Summit Brewing,195,15.0,5.70,Domestic
Summit Summer Ale,Summit Brewing,147,12.0,4.50,Domestic
Weinhard's Private Reserve,MillerCoors,150,9.9,4.80,Domestic
Weinhard's Amber Light,MillerCoors,135,11.5,4.20,Domestic
Weinhard's Hefeweizen,MillerCoors,151,12.2,4.90,Domestic
Weinhard's Blonde Lager,MillerCoors,161,14.0,5.10,Domestic
Weinhard's Pale Ale,MillerCoors,147,13.0,4.60,Domestic
Yuengling Ale,D.G. Yuengilng,145,10.0,5.00,Domestic
Yuengling Porter,D.G. Yuengilng,150,14.0,4.50,Domestic
Yuengling Premium Beer,D.G. Yuengling,135,12.0,4.40,Domestic
Yuengling Light,D.G. Yuengling,98,6.6,3.80,Domestic
Yuengling Lager,D.G. Yuengling,135,12.0,4.40,Domestic
Amstel Light,Amstel Brouwerij B.V. (Holland),99,5.33,3.90,Imported
Asahi Draft Beer,Asahi (Japan),146,,5.00,Imported
Bass & Co's Pale Ale,Bass (England),160,,5.50,Imported
Beamish Irish Cream Stout,Beamish - Crawford (Ireland),146,,4.90,Imported
Beck's Beer,Brauerei Beck (Germany),143,10,5.00,Imported
Beck's Light,Brauerei Beck (Germany),64,3.9,2.30,Imported
Beck's Dark,Brauerei Beck (Germany),146,11,4.80,Imported
Cerveza Carta Blanca,Cerveceria Cauhtemoc (Mexico),128,,4.00,Imported
Cerveza Tecate Beer,Cervecerla Cauhtemoc (Mexico),146,,4.40,Imported
Chester Golden A]e,Greenall Whitley (England),156,,5.40,Imported
Corona Extra Beer,Cereveria Modela SA (Mexico),148,13.99,4.60,Imported
Dos Equis XX Imported Beer,Cauhtemoc (Mexico),149,,4.70,Imported
Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),156,,4.90,Imported
Dragon Stout,Desnoes - Goeddes (Jamaica),220,,6.80,Imported
Foster's Lager,Garlton & United (Australia),156,11,5.10,Imported
Furstenberg German Beer,Fustlich Ferstenbergische,138,,4.40,Imported
Great Wall,Green Bamboo (China),160,,4.60,Imported
Greenall's Cheshire English Pub Beer,Greenall Whitley PLC (England),142,,5.00,Imported
Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),145,9.5,5.00,Imported
Guinness Extra Stout,Guinness (Ireland),153,17.4,4.27,Imported
Harp,Harp (Ireland),142,,4.55,Imported
Heineken Lager Beer,Heineken (Holland),150,11.5,5.00,Imported
Heineken Special Dark Beer,Heineken (Holland),170,,5.10,Imported
Heineken Special Light,Heineken (Holland),99,6.8,3.80,Imported
Kirin Beer,Kirin (Japan),188,,6.80,Imported
Kronenbourg Beer,Kronenbourg (France),153,,5.10,Imported
Kronenbourg Imported Dark Beer,Kronenbourg (France),163,,5.00,Imported
Labatt's 50,Labatt's,153,9.9,5.30,Imported
McEwans Scotch Ale,Scottish & Newcastle (Scotland),295,,9.50,Imported
Molson Canadian Beer,Molson (Canada),153,,5.10,Imported
Molson Golden Beer,Molson (Canada),170,,6.04,Imported
Molson Light,Molson (Canada),82,,2.41,Imported
Moosehead Canadian Lager Beer,Moosehead (Canada),153,,5.00,Imported
Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),110,,4.70,Imported
O'Keefe Canadian Beer,O'Keefe (Canada),142,,4.90,Imported
Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),160,14.7,4.20,Imported
Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),153,,5.00,Imported
Samuel Smith's Organic Lager,Samuel Smith's Brewery,158,13.3,5.00,Imported
Sheaf Stout,Carlton & United (Australia),174,18.8,5.20,Imported
Sol Cerveza Especial,Cerveceria Montezuma (Mexico),131,,4.10,Imported
Spaten Munich Special Dark Beer,Spaten-Brau (Germany),185,,6.60,Imported
St. Pauli Girl Beer,St. Pauli (Germany),148,8.7,4.90,Imported
St. Pauli Girl Dark Beer,St. Pauli (Germany),150,,4.80,Imported
Suntory Draft Beer,Suntory (Japan),138,,4.60,Imported
Superior Imported Beer,Cerveceria Moctezuma (Mexico),153,,4.30,Imported
Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),128,,4.20,Imported
Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),160,,6.77,Imported
Thos Cooper & Sons Stout,Cooper & Sons (Australia),205,,7.10,Imported
Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),146,,4.85,Imported
Tsingtao Beer,Tsingtao (China),153,,4.79,Imported
Watney's Red Barrel Beer,Stag (England),142,,3.92,Imported
Wurzburger Hofbrau,Wurtzburger Hofbrauag (Germany),160,,5.42,Imported
Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),153,,5.44,Imported
