BEER,Brewery,Calories,Carbohydrates,Alcohol,Type
Miller High Life,MillerCoors,143,13.1,4.70,Domestic
Miller High Life Light,MillerCoors,110,7.0,4.20,Domestic
Miller Lite,MillerCoors,96,3.2,4.20,Domestic
Milwaukee's Best,MillerCoors,128,11.4,4.30,Domestic
Miller Lite Brewers Collection Amber,MillerCoors,110,6.2,4.20,Domestic
Miller Lite Brewers Collection Blonde,MillerCoors,110,6.2,4.20,Domestic
Miller Lite Brewers Collection Wheat,MillerCoors,110,6.2,4.20,Domestic
Milwaukee's Best Premium,MillerCoors,128,11.4,4.30,Domestic
Milwaukee's Best Light,MillerCoors,98,3.5,4.20,Domestic
Milwaukee's Best Ice,MillerCoors,144,7.3,5.90,Domestic
New Belgium 1554,New Belgium,205,25.0,5.60,Domestic
New Belgium 2 Below,New Belgium,200,17.0,6.60,Domestic
New Belgium Abbey,New Belgium,200,18.0,7.00,Domestic
New Belgium Blue Paddle,New Belgium,140,14.0,4.80,Domestic
New Belgium Fat Tire,New Belgium,160,15.0,5.20,Domestic
New Belgium Mothership Wit,New Belgium,155,15.0,4.80,Domestic
New Belgium Trippel,New Belgium,215,20.0,7.80,Domestic
New Belgium Sunshine Wheat,New Belgium,145,13.0,4.80,Domestic
O'Doul's,Anheuser Busch,70,13.3,0.40,Domestic
Old Milwaukee Light,Old Milwaukee,114,8.3,3.80,Domestic
Old Milwaukee Beer,Old Milwaukee,146,12.9,4.50,Domestic
Olde English 800,MillerCoors,160,10.5,5.90,Domestic
Olde English 800 7.5,MillerCoors,202,13.4,7.50,Domestic
Olde English High Gravity 800,MillerCoors,220,14.6,8.00,Domestic
Olympia Premium Lager,Pabst,146,11.9,4.70,Domestic
Pabst Blue Ribbon,Pabst,144,12.0,4.65,Domestic
Red Dog,MillerCoors,147,14.1,5.00,Domestic
Red Hook ESB,Red Hook,179,14.2,5.77,Domestic
Red Hook IPA,Red Hook,188,12.7,6.50,Domestic
Rolling Rock Extra Pale,Latrobe,142,,4.60,Domestic
Rolling Rock Premium Beer,Latrobe,120,10.0,4.50,Domestic
Sam Adams Boston Lager,Boston Beer,160,18.0,4.75,Domestic
Sam Adams Boston Ale,Boston Beer,160,19.9,4.94,Domestic
Sam Adams Cherry Wheat,Boston Beer,166,16.9,5.20,Domestic
Sam Adams Cream Stout,Boston Beer,195,23.9,4.69,Domestic
Sam Adams Light,Boston Beer,119,9.6,4.05,Domestic
Schaefer Beer,Pabst,142,12.0,4.60,Domestic
Schlitz Beer,Pabst,146,12.1,4.70,Domestic
Sierra Nevada Anniversary Ale,Sierra Nevada,190,17.3,5.90,Domestic
Sierra Nevada Bigfoot,Sierra Nevada,330,32.1,9.60,Domestic
Sierra Nevada Celebration Ale,Sierra Nevada,214,19.4,6.80,Domestic
Sierra Nevada Draft Ale,Sierra Nevada,157,13.4,5.00,Domestic
Sierra Nevada Early Spring Beer,Sierra Nevada,190,16.7,5.90,Domestic
Sierra Nevada Harvest Ale,Sierra Nevada,215,19.3,6.70,Domestic
Sierra Nevada India Pale Ale,Sierra Nevada,231,20.0,6.90,Domestic
Sierra Nevada Pale Ale,Sierra Nevada,175,14.1,5.60,Domestic
Sierra Nevada Pale Bock,Sierra Nevada,218,19.7,7.00,Domestic
Sierra Nevada Porter,Sierra Nevada,194,18.4,5.60,Domestic
Sierra Nevada Stout,Sierra Nevada,225,22.3,5.80,Domestic
Sierra Nevada Summerfest Beer,Sierra Nevada,158,13.7,5.00,Domestic
Sierra Nevada Wheat Beer,Sierra Nevada,153,13.1,4.40,Domestic
Southpaw Light,MillerCoors,123,6.6,5.00,Domestic
Steel Reserve,MillerCoors,222,16.0,8.10,Domestic
Steel Reserve Triple Export,MillerCoors,222,16.0,8.10,Domestic
Steel Reserve Six,MillerCoors,160,11.0,6.00,Domestic
Stroh's Beer,Stroh's,149,12.0,4.60,Domestic
Stroh's Light,Stroh's,113,7.0,4.40,Domestic
Summit Horizon Red IPA,Summit Brewing,195,15.0,5.70,Domestic
Summit Summer Ale,Summit Brewing,147,12.0,4.50,Domestic
Weinhard's Private Reserve,MillerCoors,150,9.9,4.80,Domestic
Weinhard's Amber Light,MillerCoors,135,11.5,4.20,Domestic
Weinhard's Hefeweizen,MillerCoors,151,12.2,4.90,Domestic
Weinhard's Blonde Lager,MillerCoors,161,14.0,5.10,Domestic
Weinhard's Pale Ale,MillerCoors,147,13.0,4.60,Domestic
Yuengling Ale,D.G. Yuengilng,145,10.0,5.00,Domestic
Yuengling Porter,D.G. Yuengilng,150,14.0,4.50,Domestic
Yuengling Premium Beer,D.G. Yuengling,135,12.0,4.40,Domestic
Yuengling Light,D.G. Yuengling,98,6.6,3.80,Domestic
Yuengling Lager,D.G. Yuengling,135,12.0,4.40,Domestic
