Country_Name,CountryCode,BirthRate2011,UsersPreviousYear,Users,LogBirth,LogUsers
Niger,NER,48.19,0.83,1.3,3.875151531,0.262364264
Nigeria,NGA,39.663,24,28.43,3.680418763,3.347444926
Nicaragua,NIC,23.444,10,10.6,3.154614599,2.360854001
Nepal,NPL,23.65,7.93,9,3.163363115,2.197224577
New Zealand,NZL,14.27,83.00638491,86.18173386,2.658159431,4.456458251
Oman,OMN,17.507,62,68,2.862600801,4.219507705
Panama,PAN,19.55,40.1,42.7,2.972975286,3.75419892
Peru,PER,20.057,34.77,36.5,2.99857822,3.597312261
Philippines,PHL,24.807,25,29,3.211125871,3.36729583
Papua New Guinea,PNG,29.715,1.28,2,3.391651969,0.693147181
Paraguay,PRY,23.972,19.8,23.9,3.176886483,3.173878459
French Polynesia,PYF,16.708,49,49,2.815887647,3.891820298
Qatar,QAT,12.193,81.6,86.2,2.500862017,4.456670178
Rwanda,RWA,40.925,8,7,3.711741123,1.945910149
Senegal,SEN,36.837,16,17.5,3.606502775,2.862200881
Solomon Islands,SLB,31.326,5,6,3.444448424,1.791759469
El Salvador,SLV,20.16,15.9,17.68859598,3.003700443,2.872920137
Sao Tome and Principe,STP,30.669,18.75,20.1612,3.423252372,3.003759965
Suriname,SUR,18.127,31.59,32,2.897402539,3.465735903
Swaziland,SWZ,29.087,12.40547968,20.43165813,3.370291339,3.017085567
Chad,TCD,44.213,1.7,1.9,3.789018863,0.641853886
Togo,TGO,31.593,3,3.5,3.452935577,1.252762968
Thailand,THA,11.859,22.4,23.7,2.473087073,3.165475048
Tajikistan,TJK,27.773,11.55,13.03,3.324064326,2.567254391
Turkmenistan,TKM,21.425,3,5,3.064558464,1.609437912
Timor-Leste,TLS,38.149,0.206664452,0.883126339,3.641499545,-0.124287009
Tonga,TON,26.617,16,25,3.281550109,3.218875825
Trinidad and Tobago,TTO,14.591,48.5,55.2,2.6804049,4.010962953
Turkey,TUR,17.511,39.82,42.1,2.862829255,3.740047741
Tanzania,TZA,41.242,11,12,3.719457155,2.48490665
Uganda,UGA,44.684,12.5,13.01354333,3.799615496,2.56599061
St. Vincent and the Grenadines,VCT,16.797,38.5,43.01,2.821200299,3.761432647
"Yemen, Rep.",YEM,37.767,12.35,14.905,3.631435705,2.701696727
Zambia,ZMB,45.927,10.12544938,11.5,3.827053179,2.442347035
Zimbabwe,ZWE,29.003,11.5,15.7,3.367399273,2.753660712
