GPA,HSM,HSS,HSE,SATM,SATCR,SATW,sex,HIGPA
3.19,6,7,8,540,510,490,2,1
2.23,7,7,8,690,620,570,1,0
1.83,5,7,10,560,550,560,2,0
3.38,7,8,9,630,640,530,2,1
3.43,9,8,9,670,600,590,1,1
2.74,9,7,7,780,610,680,1,0
4,10,10,10,710,600,630,2,1
2.93,8,8,10,610,480,440,1,0
1.68,7,8,8,650,530,450,1,0
3.71,9,10,9,620,500,520,2,1
1.72,7,8,9,530,610,540,2,0
1.63,10,9,9,540,600,560,2,0
0.85,10,9,9,560,520,470,1,0
2.94,8,10,10,630,700,580,1,0
3.37,10,9,9,560,460,480,1,1
3.15,8,8,7,690,670,670,1,1
2.96,10,10,10,550,560,490,2,0
3.48,9,9,9,710,660,610,2,1
2.05,10,10,10,670,550,620,2,0
1.66,10,9,10,580,480,470,2,0
3.12,10,9,9,530,480,480,2,1
2.78,9,9,8,520,490,520,2,0
3.33,10,9,10,650,580,480,2,1
2.57,6,7,7,560,550,540,1,0
3.1,8,9,9,710,600,730,1,1
2.3,8,9,10,630,540,500,1,0
2.74,10,10,8,570,450,590,1,0
2.19,10,10,10,700,530,560,1,0
3.36,10,10,10,690,580,570,2,1
3.03,10,10,10,630,540,580,2,1
3.49,8,9,8,600,660,620,2,1
3.88,10,10,10,740,640,690,1,1
2.71,9,8,9,510,430,500,2,0
2.55,10,10,10,720,800,670,1,0
2.82,8,8,9,610,550,590,2,0
3.65,10,9,10,620,530,520,1,1
3.75,10,10,10,770,730,770,1,1
2.59,6,8,9,590,650,630,1,0
1.99,9,9,9,540,500,480,2,0
2.57,6,7,6,580,520,560,1,0
3.99,9,9,10,680,650,590,1,1
2.31,10,9,10,590,660,480,1,0
2.75,9,10,9,580,590,520,1,0
1.72,8,7,7,520,400,430,2,0
3.73,9,10,10,630,630,620,2,1
3.62,10,10,8,640,560,540,1,1
3.23,10,10,10,640,510,350,1,1
