Show Date,Venue,PauseLength
1995-10-05,"Memorial Colisem, Portland, OR",53
1995-10-11,"Compton Terrace Amphitheater, Chandler, AZ",69
1995-10-20,"Five Seasons Arena, Cedar Rapids, IA",88
1995-10-25,"Civic Center Arena, St. Paul, MN",93
1995-10-31,"Rosemont Horizon, Rosemont, IL",62
1995-11-09,"The Fox Theatre, Atlanta, GA",74
1995-11-14,"University of Central Florida Arena, Orlando, FL",72
1995-11-21,"Lawrence Joel Veterans Memorial Coliseum, Winston-Salem, NC",82
1995-11-28,"Knoxville Civic Coliseum, Knoxville, TN",181
1995-12-04,"Mullins Center, University of Massachusetts, Amherst, MA",97
1995-12-12,"Providence Civic Center, Providence, RI",131
1995-12-16,"Olympic Center, Lake Placid, NY",123
1995-12-30,"Madison Square Garden, New York, NY",137
1996-07-07,"Parco Aquatica, Milan, Italy",25
1996-07-12,"Melkweg, Amsterdam, Netherlands",11
1996-07-17,"Theatre Antique, Vienne, France",30
1996-08-05,"Red Rocks Amphitheatre, Morrison, CO",68
1996-08-13,"Deer Creek Music Center, Noblesville, IN",61
1996-08-16,"Plattsburgh Air Force Base, Plattsburgh, NY",67
1996-10-18,"Civic Arena, Pittsburgh, PA",47
1996-10-21,"Madison Square Garden, New York, NY",63
1996-11-03,"O'Connell Center, University of Florida, Gainesville, FL",65
1996-11-09,"The Palace of Auburn Hills, Auburn Hills, MI",62
1996-11-11,"Van Andel Arena, Grand Rapids, MI",60
1996-11-15,"Kiel Center, St. Louis, MO",73
1996-11-23,"Pacific Coliseum, Vancouver, British Columbia, Canada",68
1996-11-29,"The Cow Palace, Daly City, CA",62
1996-12-02,"America West Arena, Phoenix, AZ",69
1996-12-31,"FleetCenter, Boston, MA",101
1997-02-17,"Paradiso, Amsterdam, Netherlands",11
1997-07-03,"Serenadenhof, Nüremberg, Germany",34
1997-08-02,"Gorge Amphitheatre, George, WA",55
1997-12-02,"CoreStates Spectrum, Philadelphia, PA",77
1998-07-10,"Zeleste, Barcelona, Spain",0
1998-07-17,"Gorge Amphitheatre, George, WA",81
1998-08-02,"Deer Creek Music Center, Noblesville, IN",67
1998-08-15,"Loring Commerce Center at Loring Air Force Base, Limestone, ME",65
1998-11-09,"UIC Pavilion, University of Illinois, Chicago, IL",122
1998-11-21,"Hampton Coliseum, Hampton, VA",108
1998-12-29,"Madison Square Garden, New York, NY",108
1999-07-09,"Merriweather Post Pavillion, Columbia, MD",126
1999-07-20,"Molson Amphitheatre, Toronto, Ontario, Canada",127
1999-08-01,"Naeba Ski Resort, Niigata, Japan",65
1999-09-10,"Gorge Amphitheatre, George, WA",157
1999-10-03,"Allstate Arena, Rosemont, IL",101
1999-12-12,"Hartford Civic Center, Hartford, CT",164
2000-06-15,"Big Cat, Chuo-ku, Osaka, Japan",18
2000-07-07,"Star Lake Amphitheatre, Burgettstown, PA",56
2000-09-12,"Tweeter Center, Mansfield, MA",134
2000-09-24,"Target Center, Minneapolis, MN",132
2002-12-31,"Madison Square Garden, New York, NY",166
2003-02-18,"Pepsi Center, Denver, CO",94
2003-03-01,"Greensboro Coliseum, Greensboro, NC",107
2003-07-10,"Shoreline Amphitheatre, Mountain View, CA",46
2003-07-17,"Verizon Wireless Amphitheater Kansas City, Bonner Springs, KS",86
2003-07-22,"Verizon Wireless Music Center, Noblesville, IN",88
2003-07-27,"ALLTEL Pavilion, Raleigh, NC",40
2003-07-31,"Tweeter Center at the Waterfront, Camden, NJ",69
2003-11-29,"Wachovia Spectrum, Philadelphia, PA",80
2003-12-29,"American Airlines Arena, Miami, FL",148
2004-06-17,"KeySpan Park, Brooklyn, NY",74
2004-06-26,"Alpine Valley Music Theatre, East Troy, WI",61
2004-08-11,"Tweeter Center, Mansfield, MA",60
2009-03-06,"Hampton Coliseum, Hampton, VA",52
2009-06-04,"Nikon at Jones Beach Theater, Wantagh, NY",40
2009-06-09,"Asheville Civic Center, Asheville, NC",55
2009-06-12,"Bonnaroo Music & Arts Festival, Manchester, TN",48
2009-06-18,"Post-Gazette Pavilion, Burgettstown, PA",53
2009-06-21,"Alpine Valley Music Theatre, East Troy, WI",60
2009-07-30,"Red Rocks Amphitheatre, Morrison, CO",64
2009-08-05,"Shoreline Amphitheatre, Mountain View, CA",66
2009-10-31,"Empire Polo Club, Indio, CA",68
2009-11-20,"U.S. Bank Arena, Cincinnati, OH",75
2009-11-25,"Wachovia Center, Philadelphia, PA",95
2009-12-02,"Madison Square Garden, New York, NY",89
2009-12-05,"John Paul Jones Arena, Charlottesville, VA",92
2009-12-29,"American Airlines Arena, Miami, FL",79
2010-06-11,"Toyota Park, Bridgeview, IL",44
2010-06-17,"The Comcast Theatre, Hartford, CT",63
2010-06-22,"Comcast Center, Mansfield, MA",83
2010-06-27,"Merriweather Post Pavillion, Columbia, MD",79
2010-07-01,"Time Warner Cable Music Pavilion at Walnut Creek , Raleigh, NC",88
2010-08-05,"William Randolph Hearst Greek Theatre, Berkeley, CA",88
2010-08-10,"Telluride Town Park, Telluride, CO",78
2010-08-15,"Alpine Valley Music Theatre, East Troy, WI",73
2010-10-12,"1stBank Center, Broomfield, CO",74
2010-10-19,"Augusta Civic Center, Augusta, ME",85
2010-10-24,"Mullins Center, University of Massachusetts, Amherst, MA",85
2010-10-31,"Boardwalk Hall, Atlantic City, NJ",136
2011-01-01,"Madison Square Garden, New York, NY",77
2011-05-31,"PNC Bank Arts Center, Holmdel, NJ",76
2011-06-07,"Comcast Center, Mansfield, MA",89
2011-06-12,"Merriweather Post Pavillion, Columbia, MD",97
2011-06-18,"Time Warner Cable Music Pavilion at Walnut Creek , Raleigh, NC",72
2011-07-02,"Watkins Glen International, Watkins Glen, NY",128
2011-08-17,"UIC Pavilion, University of Illinois, Chicago, IL",121
2011-09-03,"Dick's Sporting Goods Park, Commerce City, CO",102
2011-12-30,"Madison Square Garden, New York, NY",64
2012-06-20,"nTelos Pavilion, Portsmouth, VA",84
2012-08-29,"Oklahoma City Zoo Amphitheatre, Oklahoma City, OK",81
2012-12-30,"Madison Square Garden, New York, NY",73
2013-07-07,"Saratoga Performing Arts Center, Saratoga Springs, NY",81
2013-07-17,"Verizon Wireless Amphitheatre at Encore Park, Alpharetta, GA",83
2013-08-04,"Bill Graham Civic Auditorium, San Francisco, CA",95
2013-09-01,"Dick's Sporting Goods Park, Commerce City, CO",93
2013-10-20,"Hampton Coliseum, Hampton, VA",152
2013-10-29,"The Santander Arena, Reading, PA",84
2013-12-31,"Madison Square Garden, New Yoek, NY",102
2014-07-05,"Saratoga Performing Arts Center, Saratoga Springs, NY",87
2014-07-15,"CMAC Performing Arts Center, Canandaigua, NY",91
2014-07-29,"nTelos Pavilion, Portsmouth, VA",78
2014-10-24,"The Forum, Inglewood, CA",91
2015-01-03,"American Airlines Arena, Miama, FL",83
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
