OBS,GPA,HSM,HSS,HSE,SATM,SATCR,SATW,SEX
100,3.13,9,10,10,550,530,520,0
101,1.81,7,7,7,550,510,490,0
102,2.38,9,6,8,640,580,640,1
103,2.45,9,10,9,720,670,700,0
104,3.19,6,7,8,540,510,490,1
105,2.23,7,7,8,690,620,570,0
106,1.83,5,7,10,560,550,560,1
107,3.38,7,8,9,630,640,530,1
108,3.43,9,8,9,670,600,590,0
109,2.74,9,7,7,780,610,680,0
110,4,10,10,10,710,600,630,1
111,2.93,8,8,10,610,480,440,0
112,1.68,7,8,8,650,530,450,0
113,3.71,9,10,9,620,500,520,1
114,1.72,7,8,9,530,610,540,1
115,1.63,10,9,9,540,600,560,1
116,0.85,10,9,9,560,520,470,0
117,2.94,8,10,10,630,700,580,0
118,3.37,10,9,9,560,460,480,0
119,3.15,8,8,7,690,670,670,0
120,2.96,10,10,10,550,560,490,1
121,3.48,9,9,9,710,660,610,1
122,2.05,10,10,10,670,550,620,1
123,1.66,10,9,10,580,480,470,1
124,3.12,10,9,9,530,480,480,1
125,2.78,9,9,8,520,490,520,1
126,3.33,10,9,10,650,580,480,1
127,2.57,6,7,7,560,550,540,0
128,3.1,8,9,9,710,600,730,0
129,2.3,8,9,10,630,540,500,0
130,2.74,10,10,8,570,450,590,0
131,2.19,10,10,10,700,530,560,0
132,3.36,10,10,10,690,580,570,1
133,3.03,10,10,10,630,540,580,1
134,3.49,8,9,8,600,660,620,1
135,3.88,10,10,10,740,640,690,0
136,2.71,9,8,9,510,430,500,1
137,2.55,10,10,10,720,800,670,0
138,2.82,8,8,9,610,550,590,1
139,3.65,10,9,10,620,530,520,0
140,3.75,10,10,10,770,730,770,0
141,2.59,6,8,9,590,650,630,0
142,1.99,9,9,9,540,500,480,1
143,2.57,6,7,6,580,520,560,0
144,3.99,9,9,10,680,650,590,0
145,2.31,10,9,10,590,660,480,0
146,2.75,9,10,9,580,590,520,0
147,1.72,8,7,7,520,400,430,1
148,3.73,9,10,10,630,630,620,1
149,3.62,10,10,8,640,560,540,0
150,3.23,10,10,10,640,510,350,0
